ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
W1,Writing,Introduction,Introduction,C0,mixed,N/A,n/a,Draft introduction: game solving as exact science; the public frontier and its two open 3x9 cells; verifiability gap; contribution list C0-C5; roadmap,core,8,Frontier-table before/after figure (fig:frontier),Section drafted; every non-trivial claim cited; contributions match contribution-map,DONE,13,R3,yes,Bounded claim language per evidence matrix
W2,Writing,Background and related work,Background and Related Work,C0,citation,N/A,n/a,Quoridor rules summary and complexity (PSPACE 2026); prior Quoridor work (retrograde; agents; frontier solver); solved-games evidence standards; SAT proof logging as methodological model,standard,14,Single-convention notation fixed in prose (no extra figure needed),Distinguishes at least 3 closest lines with citations,DONE,26,R2,yes,Coordinate convention pinned per researcher note; QBF/VeriPB heritage paragraph + scoped exclusivity claim added 2026-08-02 rev.2 (6 new web-verified citations)
W3,Writing,Rules semantics and stalemate theorem,Rules Semantics and the Stalemate Theorem,C2,mixed,N/A,n/a,Bounded-proof semantics; empty-conjunction divergence; theorem statement + proof sketch (both-pawn invariant); sharp H=2 counterexample; mechanical verification summary; H>=3 restriction consequence,core,3,H=2 stalemate construction figure (fig:stalemate) + scan coverage table,Theorem stated precisely; proof sketch sound; verification numbers sourced,DONE,3,E3,yes,Full proof cited to STALEMATE_THEOREM.md artifact; paper carries sketch
W4,Writing,Solvers and audit methodology,Solvers and Audit Methodology,C3,mixed,N/A,n/a,Eager solver; lazy replication solver (architectural independence); conservative audit protocol; differential validation stack; node-exact determinism,standard,5,Methodology stack diagram (fig:stack) + validation inventory table,Both architectures described; audit protocol explicit; validation table sourced,DONE,5,R4,yes,
W5,Writing,Results: the 3x9 frontier cells,Results: The $3\times 9$ Frontier Cells,C0,mixed,N/A,verified,Upper bound 35 (18/18); lower bound 33 refutation (18/18); parity argument; exact horizon; 3x9x9; replication aggregates; determinism fingerprints,core,1,Bounds audit table (tab:bounds) + replication table rows,All numbers match paper/results CSVs; no unsourced number,DONE,1,E1;W4,yes,
W6,Writing,Independently verifiable certificates,Independently Verifiable Certificates,C1,mixed,N/A,verified,qcert-1 format; min-rem extraction (cycle case study); verification levels (sample/walk/exhaustive); cross-architecture H10 acceptance; aggregate composition contract with the single pending marker; trust-boundary analysis,core,2,Certificate pipeline diagram (fig:certpipe) + verification summary table (tab:cert),Format precisely described; all verified numbers sourced; exactly one pending marker present,DONE,2,E2;W5,yes,Pending marker removed after aggregate acceptance; section fully verified
W7,Writing,Frontier progress on 4x7x7,Frontier Progress on $4\times 7$ Quoridor,C4,mixed,N/A,verified,Neither player forces a win within 26 plies; central opening refuted through 27; what remains open,standard,1,Frontier-progress table (tab:fourseven),Numbers sourced; partial nature explicit,DONE,1,E4;W5,yes,
W8,Writing,Ordering portfolios and negative results,Ordering Portfolios and Negative Results,C5,mixed,N/A,verified,Path-flow ordering gains on certified branches; horizon reversal and stable named moves; exact race-endgame dichotomy (computationally established; proof sketch pending); four documented negatives with regression retention,standard,2,Ordering race table (tab:ordering),Numbers sourced; negatives framed as audited results; race dichotomy scoped honestly,DONE,2,E5;W5,yes,Race dichotomy now backed by complete audited proof; new Certificates-as-refutation-oracles paragraph added by researcher; both reconciled in evidence matrix
W9,Writing,Limitations and future work,Limitations and Future Work,C0,citation,N/A,n/a,Not machine-checked; shared-language caveat; uncertified lower bound + survival-certificate idea; remaining 4x7 work; certificate-derived datasets; repository publication status,standard,2,No visual planned for this section,At least 4 concrete limitations tied to evidence status,DONE,2,W6;W7;W8,no,MLP feasibility probe added by researcher; race-proof item removed from future work (done); Pareto lemma remains
W10,Writing,Conclusion,Conclusion,C0,n/a,N/A,verified,Bounded takeaways: cells closed; exact horizon; certificate practice transferable,standard,0,No visual planned for this section,No claim exceeding evidence state; numbers only from verified results,DONE,0,W9,no,
W0,Writing,Abstract,Abstract,C0,n/a,N/A,verified,Problem; approach; key verified outcomes with numbers; the one pending element phrased safely; implication; <=250 words,core,0,No visual planned for this section,Substantive abstract with verified numbers; <=250 words; no citations,DONE,0,W5;W10,yes,Abstract 247 words; verified numbers included
V1,Visual,Frontier table figure,Introduction,C0,figure,N/A,n/a,Rendered 3x9 frontier row (walls 0-10) showing previously known cells and the two cells closed by this work; TikZ,N/A,0,fig:frontier TikZ grid with legend,Compiles; referenced in Introduction; matches Slatton table as of access date,DONE,0,W1,no,Referenced from Sec 1 and Sec 2
V2,Visual,Certificate pipeline diagram,Verifiable Certificates,C1,figure,N/A,n/a,TikZ flow: solver memo -> qcert2 extraction (min-rem) -> parts -> qmerge sort/check -> qverify exhaustive + sample/walk -> qexport JSONL.gz -> SQLite verifier -> aggregate manifest; independence boundaries highlighted,N/A,0,fig:certpipe TikZ pipeline with trust-boundary shading,Compiles; all stages labeled; independence boundary visible,DONE,0,W6,no,resizebox to columnwidth
V3,Visual,Methodology stack diagram,Solvers and Audit Methodology,C3,figure,N/A,n/a,TikZ layered stack: two solver architectures; conservative audits; differential validation; clean-room engines; certificates on top,N/A,0,fig:stack layered TikZ diagram,Compiles; layers match section text,DONE,0,W4,no,text width 74mm boxes
V4,Visual,H=2 stalemate construction,Rules and Proof Semantics,C2,figure,N/A,n/a,TikZ 2x3 board with the two vertical walls and both pawns; caption walks the two-ply line,N/A,0,fig:stalemate TikZ board diagram,Compiles; matches the counterexample exactly,DONE,0,W3,no,Single-convention coordinates per researcher note
RF1,Refinement,Rhythm refinement,N/A,N/A,n/a,N/A,n/a,Apply latex-rhythm-refiner after all writing and visual issues are DONE,N/A,0,N/A,All sections refined and citations preserved,DONE,0,W0;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;V1;V2;V3;V4,no,Rhythm pass applied 2026-08-02; citations preserved (27 unique keys; audit PASS)
Q1,QA,Citation verification and compile QA,N/A,N/A,n/a,N/A,n/a,Verify citations; run citation policy audits; BibTeX lint; compile when LaTeX toolchain available,N/A,0,N/A,Citation audits pass; bib lint clean; compile clean or toolchain absence documented,DONE,0,RF1,yes,MiKTeX 25.12 user-scope; 8 pages; 0 Overfull; 0 LaTeX warnings; bib lint 0 FAIL; issue audit all PASS
